stream,replicates,age,WolD95,Wolmean,Wolsorting,pfankuch,a/f rario,cbom,%cwd,lakes,totax,mitax,chaetogaster,nematoda,tardigrades,mites,ostracoda,nitocra_hibernicus,attheyella_ilinoisensis,attheyella_idahoensis,maraenobiotus_brucei,maraenobiotus_insignipes,bryocamptus_hiemalis,bryocamptus_zschokkei,moraria_affinis,parastenocaris_sp,epactophanes_brucei,acanthocyclops_vernalis,paracyclops_poppei,diacyclops_sp,eucyclops_agilis,alona_sp,alona_guttata,graptoleberis_sp,chydorus_sp,macrothricidae,totcl,totmi,totme,total,totha,totcy
stonefly,1,18,27.56,7.14,2.74,26,0.93,0.336,15.25,1,2,1,0,192,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,192,256,64,0
stonefly,2,18,27.56,7.14,2.74,26,0.93,0.336,15.25,1,4,2,32,288,0,0,0,0,0,0,0,32,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,64,320,384,32,32
stonefly,3,18,27.56,7.14,2.74,26,0.93,0.336,15.25,1,1,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,0
stonefly,4,18,27.56,7.14,2.74,26,0.93,0.336,15.25,1,1,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,64,0,0
stonefly,5,18,27.56,7.14,2.74,26,0.93,0.336,15.25,1,2,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,64,64,128,0,64
Gull,1,32,32,12.14,1.71,19,0.92,0.642,14.3,1,5,2,704,256,480,0,0,0,0,0,256,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,448,1440,1888,448,0
Gull,2,32,32,12.14,1.71,19,0.92,0.642,14.3,1,6,3,3296,32,320,0,0,0,0,0,192,0,0,0,352,0,32,0,0,0,0,0,0,0,0,0,0,576,3648,4224,576,0
Gull,3,32,32,12.14,1.71,19,0.92,0.642,14.3,1,4,1,320,36,96,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,452,484,0,0
Gull,4,32,32,12.14,1.71,19,0.92,0.642,14.3,1,5,3,704,0,768,0,32,0,0,0,96,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,256,1472,1728,224,0
Gull,5,32,32,12.14,1.71,19,0.92,0.642,14.3,1,5,2,192,512,128,0,0,0,0,0,32,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,256,832,1088,256,0
WPC,1,48,29.84,10.63,2.17,34,0.95,0.431,6.59,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,64,0,0,0,0,0,0,0,0,320,0,320,0,320
WPC,2,48,29.84,10.63,2.17,34,0.95,0.431,6.59,1,7,4,32,288,96,0,32,0,0,0,0,0,0,0,32,0,0,384,32,0,0,0,0,0,0,0,0,480,416,896,32,416
WPC,3,48,29.84,10.63,2.17,34,0.95,0.431,6.59,1,5,4,0,0,32,0,0,0,0,0,32,0,0,0,64,0,0,704,160,0,0,0,0,0,0,0,0,960,32,992,96,864
WPC,4,48,29.84,10.63,2.17,34,0.95,0.431,6.59,1,4,3,0,0,0,96,0,0,0,0,0,0,0,0,32,0,0,3616,32,0,0,0,0,0,0,0,0,3680,96,3776,32,3648
WPC,5,48,29.84,10.63,2.17,34,0.95,0.431,6.59,1,3,1,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32,80,0,0,0,0,0,0,0,0,0,112,32,144,32,80
BBN,1,167,42.08,17.06,1.87,14,1,0.51,22.62,1,5,2,192,32,160,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,64,384,448,64,0
BBN,2,167,42.08,17.06,1.87,14,1,0.51,22.62,1,11,8,448,64,32,0,32,0,0,48,16,0,16,0,16,0,0,,16,0,32,0,0,0,16,0,16,176,544,720,96,48
BBN,3,167,42.08,17.06,1.87,14,1,0.51,22.62,1,6,4,544,0,0,48,96,0,0,80,0,0,144,16,0,0,0,0,0,0,0,0,0,0,0,0,0,240,592,832,240,0
BBN,4,167,42.08,17.06,1.87,14,1,0.51,22.62,1,4,2,384,0,96,0,0,0,0,0,0,0,288,0,96,0,0,0,0,0,0,0,0,0,0,0,0,384,480,864,384,0
