Stream,Lake,Turbidity(NTU),Temp(C),Pfan_low,Pfan_bottom,EC(umhos/cm),pH,Alkalinity(mgL),Color(Pt),Total-P(ugL),totalN(ugL),NO2NO3(ugL),SumN(ugL),Pctpool,Age(y),CBOM(mg),%wood,totdolly(CPUE),totfish(CPUE),Area(km2),elevation(m),Streamlength(km),Gradient(%),Order,Orientation(deg)
SFC,1,174.30,2.80,30.00,26,115,7.8,43.4,10,54.4,59.6,43.1,102.7,0.00000,36,0.336,15.25443,20,20,10,91,1.3,7,1,355
Gull,1,6.70,3.70,20.00,19,155,7.9,60.9,0,11.2,45.9,0.0,45.9,2.18613,43,0.642,14.30238,0,2,9.4,366,3,12.2,2,175
WPC,1,39.30,3.40,23.00,34,101,7.9,39.2,9,47.4,55.6,31.0,86.6,0.23253,51,0.431,6.59691,5,15,30.8,183,5.6,3.3,2,89
Nun,0,16.70,5.20,40.00,33,145,8.0,69.1,13,49.9,44.2,33.0,77.2,3.62382,63,0.206,6.54567,29,31,38,793,8.6,9.2,3,293
CarE,0,137.20,5.70,36.00,53,181,8.1,55.6,9,248.0,36.9,93.0,129.9,0.00000,78,0.083,1.92544,6,6,10.5,518,3.4,15.2,2,226
Tar,0,16.70,2.70,31.00,39,126,8.0,51.8,6,33.4,25.6,14.0,39.6,0.00000,89,0.136,0.83617,10,10,8.7,579,2.8,20.7,1,332
Reid,0,15.60,3.50,29.00,29,148,8.0,63.0,11,24.8,16.6,47.0,63.6,0.32789,118,0.795,5.30367,4,6,17.4,290,6,4.8,1,321
Tyn,0,0.65,3.70,25.00,39,42,7.4,18.7,9,1.4,45.9,61.0,106.9,2.07418,122,0.884,16.39761,0,0,5.7,88,2.3,3.8,2,2
Viv,0,7.02,6.70,24.00,39,133,8.1,58.8,11,8.8,28.8,10,38.8,0.00000,128,0.319,5.71675,3,22,21.6,442,5.6,7.9,2,294
Ice,0,2.71,8.40,39.00,33,206,8.1,93.7,15,6.2,20.7,39.0,59.7,3.78187,128,0.692,7.70078,76,97,18.5,518,8.3,6.2,2,160
Oys,0,1.89,2.90,26.00,32,129,7.9,54.7,8,3.9,63.0,200.0,263.0,0.00000,138,0.721,4.34324,0,0,9.6,476,5.7,8.3,2,60
NFS,0,27.10,3.40,37.00,41,110,8.1,49.8,12,53.7,62.2,185.0,247.2,1.79102,153,0.792,12.16975,81,116,17,360,8,4.5,2,56
BBN,1,0.95,4.70,16.00,14,170,7.8,80.6,17,2.5,47.5,65.0,112.5,5.57907,168,0.51,22.62374,7,167,26.8,238,9,2.6,3,76
BBS,0,29.80,6.40,36.00,42,87,8.2,42.5,14,127.7,93.8,59.0,152.8,2.18487,168,1.101,14.28203,27,72,18.6,244,7.2,3.4,3,340
Rush,0,0.71,6.20,35.00,40,170,7.8,87.2,0,3.7,46.7,0.0,46.7,7.78573,193,1.178,34.47135,16,78,22,296,6.6,4.5,2,112
Car,0,2.71,5.70,48.00,51,118,7.6,51.2,18,16.4,63.0,46.0,109.0,28.67090,240,0.173,22.34686,1,58,57,271,9,3,3,132
