Submitted_name,Accepted_name,Accepted_TSN,Order,Family,Genus,Species
Anepeorus,Anepeorus,100663,Ephemeroptera,Heptageniidae,Anepeorus,NA
Anepeorus rusticus,Anepeorus rusticus,100664,Ephemeroptera,Heptageniidae,Anepeorus,Anepeorus rusticus
Pseudiron,Pseudiron,100673,Ephemeroptera,Heptageniidae,Pseudiron,NA
Macdunnoa,Macdunnoa,100744,Ephemeroptera,Heptagenidae,Macdunnoa,NA
Spinadis,Spinadis,100747,Ephemeroptera,Heptageniidae,Spinadis,NA
Spinadis wallacei,Spinadis simplex,698287,Ephemeroptera,Heptageniidae,Spinadis,Spinadis simplex
Acanthomola pubescens,Anepeorus rusticus,100664,Ephemeroptera,Heptageniidae,Anepeorus,Anepeorus rusticus
Dactylobaetis cepheus,Camelobaetidius warreni,568592,Ephemeroptera,Baetidae,Camelobaetidius,Camelobaetidius warreni
Siphlonisca aerodromia,Siphlonisca aerodromia,100980,Ephemeroptera,Siphlonuridae,Siphlonisca,Siphlonisca aerodromia
Parameletus columbiae,Parameletus columbiae,100983,Ephemeroptera,Siphlonuridae,Parameletus,Parameletus columbiae
Acanthametropus,Acanthametropus,100987,Ephemeroptera,Acanthametropodidae,Acanthametropus,NA
Acanthametropus pecatonica,Acanthametropus pecatonica,100989,Ephemeroptera,Acanthametropodidae,Acanthametropus,Acanthametropus pecatonica
Edmundsius agilis,Edmundsius agilis,100995,Ephemeroptera,Siphlonuridae,Edmundsius,Edmundsius agilis
Ameletus dissitus,Ameletus dissitus,100998,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus dissitus
Ameletus facilis,Ameletus vancouverensis,101026,Ephemeroptera,Ameletidae,Ameletus,Ameletus vancouverensis
Ameletus imbellis,Ameletus imbellis,101000,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus imbellis
Ameletus validus,Ameletus validus,101002,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus validus
Ameletus velox,Ameletus velox,101003,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus velox
Ameletus cooki,Ameletus cooki,101006,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus cooki
Ameletus ludens,Ameletus ludens,101010,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus ludens
Ameletus oregonensis,Ameletus oregonensis,101011,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus oregonensis
Ameletus similior,Ameletus similior,101012,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus similior
Ameletus similior,Ameletus similior,101012,Ephemeroptera,Ameletidae,Ameletus,Ameletus similior
Ameletus sparsatus,Ameletus sparsatus,101013,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus sparsatus
Ameletus walleyi,Ameletus walleyi,101028,Ephemeroptera,Siphlonuridae,Ameletus,Ameletus walleyi
Metretopus borealis,Metretopus borealis,101092,Ephemeroptera,Metretopodidae,Metretopus,Metretopus borealis
Thraulodes,Thraulodes,101128,Ephemeroptera,Leptophlebiidae,Thraulodes,NA
Thraulodes brunneus,Thraulodes brunneus,101130,Ephemeroptera,Leptophlebiidae,Thraulodes,Thraulodes brunneus
Pentagenia,Pentagenia,101588,Ephemeroptera,Ephemeridae,Pentagenia,NA
Pentagenia vittigera,Pentagenia vittigera,101589,Ephemeroptera,Ephemeridae,Pentagenia,Pentagenia vittigera
Coryphaeschna,Coryphaeschna,101639,Odonata,Aeshnidae,Coryphaeschna,NA
Gomphurus,Gomphus,591869,Odonata,Gomphidae,Gomphus,NA
Hylogomphus,Gomphus,591873,Odonata,Gomphidae,Gomphus,NA
Plathemis,Plathemis,101808,Odonata,Coenagrionidae,Plathemis,NA
Williamsonia fletcheri,Williamsonia fletcheri,101829,Odonata,Corduliidae,Williamsonia,Williamsonia fletcheri
Brachymesia,Brachymesia,101830,Odonata,Libellulidae,Brachymesia,NA
Epicordulia,Epitheca,591871,Odonata,Corduliidae,Epitheca,NA
Tetragoneuria,Epitheca,591872,Odonata,Corduliidae,Epitheca,NA
Macromiidae,Macromiinae,591727,Odonata,Corduliidae,NA,NA
Epitheca,Epitheca,102035,Odonata,Cordulegastridae,Epitheca,NA
Archilestes,Archilestes,102059,Odonata,Lestidae,Archilestes,NA
Allonarcys,Pteronarcys,102471,Plecoptera,Pteronarcyidae,Pteronarcys,NA
Allonarcys biloba,Pteronarcys biloba,102474,Plecoptera,Pteronarcyidae,Pteronarcys,Pteronarcys biloba
Allonarcys proteus,Pteronarcys proteus,102480,Plecoptera,Pteronarcyidae,Pteronarcys,Pteronarcys proteus
Allonarcys scotti,Pteronarcys scotti,102482,Plecoptera,Pteronarcyidae,Pteronarcys,Pteronarcys scotti
Sierraperla cora,Sierraperla cora,102515,Plecoptera,Peltoperlidae,Sierraperla,Sierraperla cora
Lednia tumana,Lednia tumana,102630,Plecoptera,Nemouridae,Lednia,Lednia tumana
Capnura,Capnura,102690,Plecoptera,Capniidae,Capnura,NA
Isocapnia,Isocapnia,102740,Plecoptera,Capniidae,Isocapnia,NA
Isocapnia vedderensis,Isocapnia vedderensis,102741,Plecoptera,Capniidae,Isocapnia,Isocapnia vedderensis
Isocapnia spenceri,Isocapnia spenceri,102742,Plecoptera,Capniidae,Isocapnia,Isocapnia spenceri
Isocapnia missourii,Isocapnia integra,102745,Plecoptera,Capniidae,Isocapnia,Isocapnia integra
Isocapnia hyalita,Isocapnia hyalita,102746,Plecoptera,Capniidae,Isocapnia,Isocapnia hyalita
Isocapnia grandis,Isocapnia grandis,102747,Plecoptera,Capniidae,Isocapnia,Isocapnia grandis
Isocapnia crinita,Isocapnia crinita,102749,Plecoptera,Capniidae,Isocapnia,Isocapnia crinita
Isocapnia agassizi,Isocapnia agassizi,102750,Plecoptera,Capniidae,Isocapnia,Isocapnia agassizi
Isocapnia abbreviata,Isocapnia abbreviata,102751,Plecoptera,Capniidae,Isocapnia,Isocapnia abbreviata
Bolshecapnia milami,Bolshecapnia milami,102767,Plecoptera,Capniidae,Bolshecapnia,Bolshecapnia milami
Bolshecapnia sasquatchi,Sasquacapnia sasquatchi,1093921,Plecoptera,Capniidae,Sasquacapnia,Sasquacapnia sasquatchi
Bolshecapnia spenceri,Bolshecapnia spenceri,102770,Plecoptera,Capniidae,Bolshecapnia,Bolshecapnia spenceri
Bolotoperla,Bolotoperla,102836,Plecoptera,Taeniopterygidae,Bolotoperla,NA
Megaleuctra kincaidi,Megaleuctra kincaidi,102878,Plecoptera,Leuctridae,Megaleuctra,Megaleuctra kincaidi
Megaleuctra stigmata,Megaleuctra stigmata,102881,Plecoptera,Leuctridae,Megaleuctra,Megaleuctra stigmata
Megaleuctra complicata,Megaleuctra complicata,102882,Plecoptera,Leuctridae,Megaleuctra,Megaleuctra complicata
Moselia,Moselia,102909,Plecoptera,Leuctridae,Moselia,NA
Moselia infuscata,Moselia infuscata,102910,Plecoptera,Leuctridae,Moselia,Moselia infuscata
Phasganophora capitata,Agnetina capitata,102979,Plecoptera,Perlidae,Agnetina,Agnetina capitata
Isogenus,Isogenus,103070,Plecoptera,Perlodidae,Isogenus,NA
Arcynopteryx compacta,Arcynopteryx compacta,103093,Plecoptera,Perlodidae,Arcynopteryx,Arcynopteryx compacta
Hydroperla,Hydroperla,103106,Plecoptera,Perlodidae,Hydroperla,NA
Hydroperla fugitans,Hydroperla fugitans,103107,Plecoptera,Perlodidae,Hydroperla,Hydroperla fugitans
Hydroperla crosbyi,Hydroperla crosbyi,103108,Plecoptera,Perlodidae,Hydroperla,Hydroperla crosbyi
Doroneuria,Doroneuria,103121,Plecoptera,Perlodidae,Doroneuria,NA
Doroneuria theodora,Doroneuria theodora,103122,Plecoptera,Perlodidae,Doroneuria,Doroneuria theodora
Perlinodes,Perlinodes,103134,Plecoptera,Perlodidae,Perlinodes,NA
Perlinodes aurea,Perlinodes aurea,103135,Plecoptera,Perlodidae,Perlinodes,Perlinodes aurea
Soliperla thyra,Soliperla thyra,103143,Plecoptera,Peltoperlidae,Soliperla,Soliperla thyra
Soliperla campanula,Soliperla campanula,103144,Plecoptera,Peltoperlidae,Soliperla,Soliperla campanula
Soliperla fenderi,Soliperla fenderi,103145,Plecoptera,Peltoperlidae,Soliperla,Soliperla fenderi
Soliperla quadrispinula,Soliperla quadrispinula,103146,Plecoptera,Peltoperlidae,Soliperla,Soliperla quadrispinula
Cascadoperla,Cascadoperla,103157,Plecoptera,Perlodidae,Cascadoperla,NA
Chernokrilus misnomus,Chernokrilus misnomus,103161,Plecoptera,Perlodidae,Chernokrilus,Chernokrilus misnomus
Chernokrilus erratus,Chernokrilus erratus,103162,Plecoptera,Perlodidae,Chernokrilus,Chernokrilus erratus
Frisonia picticeps,Frisonia picticeps,103172,Plecoptera,Perlodidae,Frisonia,Frisonia picticeps
Oroperla,Oroperla,103180,Plecoptera,Perlodidae,Oroperla,NA
Oroperla barbara,Oroperla barbara,103181,Plecoptera,Perlodidae,Oroperla,Oroperla barbara
Osobenus,Osobenus,103183,Plecoptera,Perlodidae,Osobenus,NA
Osobenus yakimae,Osobenus yakimae,103184,Plecoptera,Perlodidae,Osobenus,Osobenus yakimae
Pictetiella,Pictetiella,103186,Plecoptera,Perlodidae,Pictetiella,NA
Pictetiella expansa,Pictetiella expansa,103188,Plecoptera,Perlodidae,Pictetiella,Pictetiella expansa
Rickera,Rickera,103189,Plecoptera,Perlodidae,Rickera,NA
Rickera sorpta,Rickera sorpta,103190,Plecoptera,Perlodidae,Rickera,Rickera sorpta
Setvena,Setvena,103193,Plecoptera,Perlodidae,Setvena,NA
Setvena bradleyi,Setvena bradleyi,103194,Plecoptera,Perlodidae,Setvena,Setvena bradleyi
Setvena tibialis,Setvena tibialis,103195,Plecoptera,Perlodidae,Setvena,Setvena tibialis
Perlomyia,Perlomyia,103239,Plecoptera,Leuctridae,Perlomyia,NA
Perlomyia collaris,Perlomyia collaris,103240,Plecoptera,Leuctridae,Perlomyia,Perlomyia collaris
Perlomyia utahensis,Perlomyia utahensis,103243,Plecoptera,Leuctridae,Perlomyia,Perlomyia utahensis
Atoperla ephyre,Perlinella ephyre,103248,Plecoptera,Perlidae,Perlinella,Perlinella ephyre
Hastaperla,Haploperla,103260,Plecoptera,Chloroperlidae,Haploperla,NA
Hastaperla brevis,Haploperla brevis,103263,Plecoptera,Chloroperlidae,Haploperla,Haploperla brevis
Hastaperla chilnualna,Haploperla chilnualna,103267,Plecoptera,Chloroperlidae,Haploperla,Haploperla chilnualna
Bisancora,Bisancora,103300,Plecoptera,Chloroperlidae,Bisancora,NA
Neaviperla forcipata,Suwallia forcipata,609888,Plecoptera,Chloroperlidae,Suwallia,Suwallia forcipata
Alaskaperla,Alaskaperla,103316,Plecoptera,Chloroperlidae,Alaskaperla,NA
Alaskaperla ovibovis,Alaskaperla ovibovis,103317,Plecoptera,Chloroperlidae,Alaskaperla,Alaskaperla ovibovis
