Genus,Trait_group,Trait,Trait_affinity
Abedus,AdultFlyingStrength_abbrev,Strong,0.333333333
Abedus,AdultFlyingStrength_abbrev,Weak,0.666666667
Abedus,Emerge_synch_abbrev,Well,1
Abedus,Feed_prim_abbrev,PR,1
Abedus,Female_disp_abbrev,High,0.333333333
Abedus,Female_disp_abbrev,Low,0.666666667
Abedus,Habit_prim,Climber,1
Abedus,Habit_sec,Swimmer,1
Abedus,Max_body_size_abbrev,Large,0.75
Abedus,Max_body_size_abbrev,Medium,0.25
Abedus,Resp_abbrev,Plastron_spiracle,1
Abedus,Rheophily_abbrev,depo,1
Abedus,Thermal_pref,Warm eurythermal (15-30 C),1
Abedus,Voltinism_abbrev,Bi_multivoltine,0.25
Abedus,Voltinism_abbrev,Univoltine,0.75
Ablabesmyia,AdultFlyingStrength_abbrev,Strong,1
Ablabesmyia,Emerge_season_1,Spring,0.153846154
Ablabesmyia,Emerge_season_1,Summer,0.153846154
Ablabesmyia,Emerge_season_1,Winter,0.692307692
Ablabesmyia,Emerge_season_2,Fall,0.909090909
Ablabesmyia,Emerge_season_2,Summer,0.090909091
Ablabesmyia,Feed_mode_sec,CG,1
Ablabesmyia,Feed_prim_abbrev,CG,0.090909091
Ablabesmyia,Feed_prim_abbrev,PR,0.909090909
Ablabesmyia,Habit_prim,Sprawler,1
Ablabesmyia,Max_body_size_abbrev,Medium,0.333333333
Ablabesmyia,Max_body_size_abbrev,Small,0.666666667
Ablabesmyia,Resp_abbrev,Tegument,1
Ablabesmyia,Rheophily_abbrev,depo,0.285714286
Ablabesmyia,Rheophily_abbrev,depo_eros,0.642857143
Ablabesmyia,Rheophily_abbrev,eros,0.071428571
Ablabesmyia,Thermal_pref,Cool-warm eurythermal (5-30 C),0.416666667
Ablabesmyia,Thermal_pref,Warm eurythermal (15-30 C),0.583333333
Ablabesmyia,Voltinism_abbrev,Bi_multivoltine,1
Acamptocladius,Feed_prim_abbrev,CG,1
Acamptocladius,Habit_prim,Burrower,1
Acamptocladius,Max_body_size_abbrev,Small,1
Acamptocladius,Rheophily_abbrev,depo,1
Acamptocladius,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Acanthametropus,AdultFlyingStrength_abbrev,Weak,1
Acanthametropus,Emerge_season_1,Summer,1
Acanthametropus,Emerge_season_2,Summer,1
Acanthametropus,Emerge_synch_abbrev,Well,1
Acanthametropus,Feed_mode_sec,CF,1
Acanthametropus,Feed_prim_abbrev,PR,1
Acanthametropus,Female_disp_abbrev,Low,1
Acanthametropus,Habit_prim,Sprawler,0.25
Acanthametropus,Habit_prim,Swimmer,0.75
Acanthametropus,Habit_sec,Clinger,0.5
Acanthametropus,Habit_sec,Swimmer,0.5
Acanthametropus,Max_body_size_abbrev,Large,0.666666667
Acanthametropus,Max_body_size_abbrev,Small,0.333333333
Acanthametropus,Resp_abbrev,Gills,1
Acanthametropus,Rheophily_abbrev,depo,1
Acanthametropus,Thermal_pref,Cold-cool eurythermal (0-15 C),0.5
Acanthametropus,Thermal_pref,Warm eurythermal (15-30 C),0.5
Acanthametropus,Voltinism_abbrev,Semivoltine,0.333333333
Acanthametropus,Voltinism_abbrev,Univoltine,0.666666667
Acanthocnema,Emerge_season_1,Winter,1
Acanthocnema,Emerge_season_2,Spring,1
Acanthocnema,Feed_prim_abbrev,PR,1
Acanthocnema,Max_body_size_abbrev,Small,1
Acanthocnema,Resp_abbrev,Gills,1
Acanthocnema,Thermal_pref,Cold-cool eurythermal (0-15 C),1
Acanthocnema,Voltinism_abbrev,Bi_multivoltine,1
Acentrella,AdultFlyingStrength_abbrev,Weak,1
Acentrella,Emerge_season_1,Fall,0.083333333
Acentrella,Emerge_season_1,Spring,0.25
Acentrella,Emerge_season_1,Summer,0.5
Acentrella,Emerge_season_1,Winter,0.166666667
Acentrella,Emerge_season_2,Fall,0.625
Acentrella,Emerge_season_2,Spring,0.125
Acentrella,Emerge_season_2,Summer,0.25
Acentrella,Emerge_synch_abbrev,Poorly,1
Acentrella,Feed_prim_abbrev,CG,0.583333333
Acentrella,Feed_prim_abbrev,HB,0.416666667
Acentrella,Female_disp_abbrev,Low,1
Acentrella,Habit_prim,Clinger,0.2
Acentrella,Habit_prim,Sprawler,0.2
Acentrella,Habit_prim,Swimmer,0.6
Acentrella,Habit_sec,Clinger,0.5
Acentrella,Habit_sec,Swimmer,0.5
Acentrella,Max_body_size_abbrev,Small,1
Acentrella,Resp_abbrev,Gills,1
Acentrella,Rheophily_abbrev,depo_eros,0.833333333
Acentrella,Rheophily_abbrev,eros,0.166666667
Acentrella,Thermal_pref,Cold-cool eurythermal (0-15 C),0.166666667
Acentrella,Thermal_pref,Cool-warm eurythermal (5-30 C),0.5
Acentrella,Thermal_pref,Warm eurythermal (15-30 C),0.333333333
Acentrella,Voltinism_abbrev,Bi_multivoltine,0.875
Acentrella,Voltinism_abbrev,Univoltine,0.125
Acentria,Feed_prim_abbrev,SH,1
Acentria,Habit_prim,Climber,1
Acerpenna,AdultFlyingStrength_abbrev,Weak,1
Acerpenna,Emerge_season_1,Fall,0.111111111
