Taxon,Maximalpotentialsize_<0.25 cm,Maximalpotentialsize_>0.25-.5 cm,Maximal potential size_>0.5-1 cm,Maximalpotentialsize_>1-2 cm,Maximalpotentialsize_>2-4 cm,Maximalpotentialsize_>4-8 cm,Maximalpotentialsize_>8cm,Nbcyclesan_less1,Nbcyclesan_1,Nbcyclesan_greater1,Fecundity_<100,Fecundity_>100-1000,Fecundity_>1000-3000,Fecundity_>3000,Bodyform_streamlined,Bodyform_flattened,Bodyform_cylindrical,Bodyform_sphaerical,Bodyform_geometric,ReproductionTechnique_ovoviviparity,ReproductionTechnique_isolatedeggs.free,ReproductionTechnique_isolatedeggs.cemented,ReproductionTechnique_clutches.cementedorfixed,ReproductionTechnique_clutches.free,ReproductionTechnique_clutches.invegetation,ReproductionTechnique_clutches.terrestrial,ReproductionTechnique_asexualreproduction,ReproductionTechnique_parthenogenesis,Resistanceforms_eggs.statoblasts,Resistanceforms_cocoons,Resistanceforms_housingsagainstdesiccation,Resistanceforms_diapauseordormancy,Resistanceforms_none,Respiration_tegument,Respiration_gill,Respiration_plastron,Respiration_spiracle(aerial),Locomotionsubstraterelation_swimmer,Locomotionsubstraterelation_crawler,Locomotionsubstrate relation_burrower(epibenthic),Locomotionsubstrate relation_interstitial(endobenthic),Locomotionsubstraterelation_temporaryattached,Locomotionsubstraterelation_permanentattached,Food_finesedimentmicroorganisms,Food_detritus<1mm,Food_dead plant>1mm,Food_livingmicrophytes,Food_livingmacrophytes,Food_deadanimal>1mm,Food_livingmicroinvertebrates,Food_livingmacroinvertebratesvertebrates,Feedinghabits_absorber,Feedinghabits_deposit feeder,Feedinghabits_shredder,Feedinghabits_scraper,Feedinghabits_filter-feeder,Feedinghabits_piercer(plantsoranimals),Feedinghabits_predator(carver/engulfer/swallower),Feedinghabits_parasite
Gammarus,0,0,0,0.5,0.5,0,0,0,0,1,1,0,0,0,0.2,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0.33,0.5,0,0.17,0,0,0,0.07,0.27,0.13,0.07,0.13,0.2,0.13,0,0,0.75,0.25,0,0,0,0
Niphargus,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0.25,0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,0.75,0,0,0.13,0.38,0.13,0.38,0,0,0,0.63,0.13,0,0,0,0.13,0.13,0,0,1,0,0,0,0,0
Asellidae,0,0,0.5,0.5,0,0,0,0,0.29,0.71,0.64,0.36,0,0,0.2,0.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0.6,0,0.4,0,0,0,0.17,0.5,0.17,0.17,0,0,0,0,0,1,0,0,0,0,0
Nematoda,0,0,0,1,0,0,0,0,1,0,0,0,0.2,0.8,0,0,1,0,0,0,0,0,0.6,0,0,0,0,0.4,0,0,0,0,1,1,0,0,0,0.2,0.4,0,0,0.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Oligochaeta,0.03,0.09,0.2,0.17,0.11,0.24,0.17,0,0.25,0.75,1,0,0,0,0,0,1,0,0,0,0.04,0.02,0.43,0,0,0,0.12,0.4,0,0.31,0,0,0.69,0.97,0.03,0,0,0.07,0,0.31,0.49,0.13,0,0.18,0.52,0,0.21,0,0,0.04,0.04,0.12,0.73,0,0.09,0,0,0.01,0.06
Hydracarina,0.6,0.2,0.2,0,0,0,0,0,0.25,0.75,1,0,0,0,0,0,0,1,0,0.2,0,0.2,0.2,0,0.2,0.2,0,0,0.2,0,0,0.2,0.6,0.4,0,0,0.6,0.33,0.67,0,0,0,0,0,0.17,0,0.08,0.17,0.08,0.17,0.33,0,0.1,0.2,0,0,0.3,0.2,0.2
Cyclopoida,0.8,0.2,0,0,0,0,0,0,0,1,0.75,0.25,0,0,0,0,1,0,0,0,0.25,0,0,0.75,0,0,0,0,0.5,0,0,0.5,0,1,0,0,0,0.43,0.14,0,0.43,0,0,0,0.14,0,0.29,0.14,0,0.43,0,0,0.11,0.11,0.11,0.22,0,0.44,0
Harpaticoida,0.8,0.2,0,0,0,0,0,0,0,1,0.25,0.75,0,0,0,0,1,0,0,0,0.25,0,0,0.5,0,0,0,0.25,0.5,0,0,0.5,0,1,0,0,0,0,0.33,0.17,0.5,0,0,0,0.2,0,0.4,0.2,0,0.2,0,0,0.14,0,0.14,0.29,0,0.29,0.14
Ostracoda,0.08,0.65,0.16,0.11,0,0,0,0.18,0.34,0.48,0.43,0.57,0,0,0,0.24,0.53,0.16,0.07,0,0.24,0.34,0,0.06,0,0,0,0.36,0.21,0.09,0,0,0.7,0.25,0.75,0,0,0.15,0.55,0,0.3,0,0,0.16,0.48,0.16,0.18,0,0.01,0,0,0,0.73,0,0.25,0,0,0.01,0
Candona_candida,0,0,1,0,0,0,0,0.2,0.6,0.2,0.25,0.75,0,0,0,0,1,0,0,0,0.14,0.29,0,0.14,0,0,0,0.43,0,0,0,0,1,0.25,0.75,0,0,0,0.75,0,0.25,0,0,0.17,0.5,0.17,0.17,0,0,0,0,0,0.75,0,0.25,0,0,0,0
Candona_neglecta,0,0,1,0,0,0,0,0,0.25,0.75,0.25,0.75,0,0,0,0,1,0,0,0,0.25,0.5,0,0.25,0,0,0,0,0,0,0,0,1,0.25,0.75,0,0,0,0.75,0,0.25,0,0,0.17,0.5,0.17,0.17,0,0,0,0,0,0.75,0,0.25,0,0,0,0
Pseudocandona_albicans,0,1,0,0,0,0,0,0.25,0.75,0,0.33,0.67,0,0,0,0.6,0.2,0,0.2,0,0.14,0.29,0,0.14,0,0,0,0.43,0,0.5,0,0,0.5,0.25,0.75,0,0,0,0.6,0,0.4,0,0,0.2,0.6,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0
Pseudocandona_compressa,0,0.33,0.67,0,0,0,0,0.25,0.75,0,0.33,0.67,0,0,0,0.25,0.75,0,0,0,0.25,0.5,0,0.25,0,0,0,0,0,0,0,0,1,0.25,0.75,0,0,0,0.75,0,0.25,0,0,0.17,0.5,0.17,0.17,0,0,0,0,0,0.75,0,0.25,0,0,0,0
Pseudocandona_zschokkei,0,1,0,0,0,0,0,0.75,0.25,0,1,0,0,0,0,0,0,0,1,0,0.33,0.67,0,0,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,0,0,0,1,0,0,0.2,0.6,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0
Schellencandona_cf_insueta,0.75,0.25,0,0,0,0,0,0.75,0.25,0,1,0,0,0,0,0.25,0,0,0.75,0,0.33,0.67,0,0,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,0,0,0,1,0,0,0.2,0.6,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0
Fabaeformiscandona_wegelini,0,1,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,1,0,0,0,0.17,0.33,0,0,0,0,0,0.5,1,0,0,0,0,0.25,0.75,0,0,0,0,0,1,0,0,0.2,0.6,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0
Crypto_or_Fabae,0.25,0.75,0,0,0,0,0,0.75,0.25,0,1,0,0,0,0,1,0,0,0,0,0.33,0.67,0,0,0,0,0,0,1,0,0,0,0,0.25,0.75,0,0,0,0.5,0,0.5,0,0,0.2,0.6,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0
Candoninae_longue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candoninae,0.17,0.64,0.19,0,0,0,0,0.51,0.44,0.05,0.72,0.28,0,0,0,0.44,0.35,0,0.21,0,0.25,0.5,0,0.07,0,0,0,0.18,0.6,0.09,0,0,0.3,0.25,0.75,0,0,0,0.41,0,0.59,0,0,0.19,0.58,0.19,0.04,0,0,0,0,0,0.95,0,0.05,0,0,0,0
Cyclocypris_ovum,1,0,0,0,0,0,0,0,0,1,0.25,0.75,0,0,0,0,0,1,0,0,0.67,0.33,0,0,0,0,0,0,0,0.5,0,0,0.5,0.25,0.75,0,0,0.33,0.5,0,0.17,0,0,0.14,0.43,0.14,0.29,0,0,0,0,0,0.6,0,0.4,0,0,0,0
Ilyocypris_bradyi,0,1,0,0,0,0,0,0,0.75,0.25,0.33,0.67,0,0,0,0,1,0,0,0,0.33,0.17,0,0,0,0,0,0.5,0,0,0,0,1,0.25,0.75,0,0,0.2,0.6,0,0.2,0,0,0.17,0.5,0.17,0.17,0,0,0,0,0,0.75,0,0.25,0,0,0,0
Herpetocypris_reptans,0,0,0,1,0,0,0,0,0,1,0.25,0.75,0,0,0,0,1,0,0,0,0.14,0.29,0,0.14,0,0,0,0.43,0,0,0,0,1,0.25,0.75,0,0,0.2,0.6,0,0.2,0,0,0.13,0.38,0.13,0.25,0,0.13,0,0,0,0.5,0,0.33,0,0,0.17,0
Prionocypris_zenkeri,0,0,1,0,0,0,0,0,0,1,0.25,0.75,0,0,0,0,1,0,0,0,0.14,0.29,0,0.14,0,0,0,0.43,0,0,0,0,1,0.25,0.75,0,0,0.2,0.6,0,0.2,0,0,0.14,0.43,0.14,0.29,0,0,0,0,0,0.6,0,0.4,0,0,0,0
Cypridopsis_vidua,0,1,0,0,0,0,0,0,0,1,0.25,0.75,0,0,0,0,0,1,0,0,0.33,0.17,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0.25,0.75,0,0,0.5,0.33,0,0.17,0,0,0.14,0.43,0.14,0.29,0,0,0,0,0,0.6,0,0.4,0,0,0,0
Psychrodromus_olivaceus,0,1,0,0,0,0,0,0,0.25,0.75,0.25,0.75,0,0,0,0,1,0,0,0,0.14,0.29,0,0.14,0,0,0,0.43,0,0,0,0,1,0.25,0.75,0,0,0.25,0.75,0,0,0,0,0.13,0.38,0.13,0.38,0,0,0,0,0,0.6,0,0.4,0,0,0,0
Psychrodromus_fontinalis,0,1,0,0,0,0,0,0,0.67,0.33,0.25,0.75,0,0,0,0,1,0,0,0,0.14,0.29,0,0.14,0,0,0,0.43,0,0,0,0,1,0.25,0.75,0,0,0,0.75,0,0.25,0,0,0.2,0.6,0.2,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0
