Stream,Date,replicate,chironomidae,simuliidae,plecoptera,ephemeroptera,trichopter,mites,nematoda,chaetogaster,oligochaeta,tardigrades,ostracoda,maraenobiotus_brucei,epactophanes_brucei,mesochra_alaskana,"
atheyella_sp",moraria_affinis,bryocamptus_zschokkei,bryocamptus_hiemalis,acanthocyclops_vernalis,paracyclops_poppei,eucyclops_agilis,"cyclop
s_scutifer",chydorus_sp,pleuroxus_sp,macrothrix_sp
WPC,07.06.1994,1,192,16,0,0,0,368,0,2640,0,0,64,16,16,0,0,448,0,0,112,0,0,0,0,0,0
WPC,07.06.1994,2,544,0,0,0,0,272,0,8712,0,0,432,16,0,0,0,416,0,0,80,0,16,0,0,0,0
WPC,07.06.1994,3,3216,0,0,0,0,1024,0,4800,0,0,112,48,0,0,0,704,0,0,176,0,0,0,0,0,0
WPC,07.06.1994,4,642,0,0,0,0,480,0,5248,0,0,144,0,0,0,0,192,0,0,16,0,0,0,0,0,0
WPC,07.06.1994,5,148,0,0,0,0,368,0,2344,0,0,0,16,0,0,0,64,0,0,64,0,0,0,0,0,0
WPC,21.05.1995,1,11584,0,0,0,0,560,0,6754,0,0,0,32,0,0,0,160,0,0,48,0,0,0,0,0,0
WPC,21.05.1995,2,632,0,0,0,0,732,0,3980,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0
WPC,21.05.1995,3,896,0,0,0,0,322,0,1832,0,0,0,16,0,0,0,32,0,0,80,0,0,0,0,0,0
WPC,21.05.1995,4,3220,0,0,0,0,78,0,4532,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0
WPC,21.05.1995,5,4560,0,0,0,0,64,0,900,0,0,0,0,0,0,0,64,0,0,208,0,16,0,0,0,0
WPC,11.07.1996,1,2336,0,0,0,0,64,0,2752,0,0,0,0,0,48,0,0,0,0,32,0,0,0,0,0,0
WPC,11.07.1996,2,192,0,0,0,0,80,0,4832,16,0,0,0,0,0,16,0,0,0,16,0,0,0,0,0,0
WPC,11.07.1996,3,544,0,0,0,0,160,64,8752,0,0,192,0,0,0,32,0,0,0,32,0,0,0,0,0,0
WPC,11.07.1996,4,144,64,0,0,0,64,0,1680,0,0,16,0,0,0,0,0,0,16,48,0,0,0,0,0,0
WPC,11.07.1996,5,3216,32,0,0,0,64,16,6608,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0
WPC,23.05.1997,4,3010,320,64,0,0,360,230,340,0,0,0,0,0,0,0,0,0,0,256,64,0,0,0,0,0
WPC,23.05.1997,5,2090,252,0,0,0,48,288,32,0,96,32,0,0,0,0,32,0,0,384,32,0,0,0,0,0
WPC,23.05.1997,3,11560,432,190,0,0,462,0,0,0,32,0,32,0,0,0,64,0,0,704,160,0,0,0,0,0
WPC,23.05.1997,2,8960,448,124,0,0,96,0,32,0,0,0,0,0,0,0,32,0,0,3616,32,0,0,0,0,0
WPC,23.05.1997,1,9884,620,64,0,0,32,0,0,0,0,0,0,32,0,0,0,0,0,640,0,0,0,0,0,0
WPC,28.07.1997,4,3168,432,32,0,0,48,160,1664,0,0,32,48,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,28.07.1997,1,9984,448,192,0,0,512,64,512,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0
WPC,28.07.1997,5,16320,192,128,0,0,448,512,3136,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0,0,0
WPC,28.07.1997,3,16640,576,896,0,0,1152,192,13120,0,0,128,0,0,0,0,0,0,0,64,0,0,0,0,0,0
WPC,28.07.1997,2,9984,0,1344,0,0,256,0,5312,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
WPC,11.08.1997,2,17280,0,0,0,0,768,128,17280,0,0,256,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,11.08.1997,5,4352,2304,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,11.08.1997,3,5184,256,0,0,0,0,0,1920,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,11.08.1997,1,20864,768,128,0,0,768,256,5120,0,0,0,384,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,11.08.1997,4,7296,0,0,0,0,192,0,3904,0,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0
WPC,30.05.1998,1,6160,240,0,0,0,96,32,336,912,0,0,16,0,0,0,0,0,0,32,0,0,0,0,0,0
WPC,30.05.1998,2,8816,0,0,0,0,160,0,0,0,16,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0
WPC,30.05.1998,3,5056,0,0,0,0,304,16,0,400,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0
WPC,30.05.1998,4,12192,0,0,0,0,288,16,32,3184,0,16,0,0,0,0,0,0,0,80,0,0,0,0,0,0
